cod_fabrica,cod_venta,descripcion,precio
9430,BI6521CL,Pantalon 100% Lino Made In Italy,42000
9430,BI6521ZM,Pantalon 100% Lino Made In Italy,42000
9430,BI6521NG,Pantalon 100% Lino Made In Italy,42000
41870,BI6522BL,Camiseta 50%Lino 50%Cotone Made In Italy,30000
41870,BI6522RS,Camiseta 50%Lino 50%Cotone Made In Italy,30000
41870,BI6522TJ,Camiseta 50%Lino 50%Cotone Made In Italy,30000
41870,BI6522BD,Camiseta 50%Lino 50%Cotone Made In Italy,30000
41870,BI6522BG,Camiseta 50%Lino 50%Cotone Made In Italy,30000
41870,BI6522FG,Camiseta 50%Lino 50%Cotone Made In Italy,30000
41870,BI6522MG,Camiseta 50%Lino 50%Cotone Made In Italy,30000
41870,BI6522CL,Camiseta 50%Lino 50%Cotone Made In Italy,30000
41870,BI6522ZM,Camiseta 50%Lino 50%Cotone Made In Italy,30000
41870,BI6522NG,Camiseta 50%Lino 50%Cotone Made In Italy,30000
5030,BI6523BL,Camiseta 100% Lino Made In Italy,32000
5030,BI6523RS,Camiseta 100% Lino Made In Italy,32000
5030,BI6523TJ,Camiseta 100% Lino Made In Italy,32000
5030,BI6523BD,Camiseta 100% Lino Made In Italy,32000
5030,BI6523BG,Camiseta 100% Lino Made In Italy,32000
5030,BI6523FG,Camiseta 100% Lino Made In Italy,32000
5030,BI6523MG,Camiseta 100% Lino Made In Italy,32000
5030,BI6523CL,Camiseta 100% Lino Made In Italy,32000
5030,BI6523ZM,Camiseta 100% Lino Made In Italy,32000
5030,BI6523NG,Camiseta 100% Lino Made In Italy,32000
25755,BI6524BL,Vestido 100% Lino Made In Italy,52000
25755,BI6524RS,Vestido 100% Lino Made In Italy,52000
25755,BI6524TJ,Vestido 100% Lino Made In Italy,52000
25755,BI6524BD,Vestido 100% Lino Made In Italy,52000
25755,BI6524BG,Vestido 100% Lino Made In Italy,52000
25755,BI6524FG,Vestido 100% Lino Made In Italy,52000
25755,BI6524MG,Vestido 100% Lino Made In Italy,52000
25755,BI6524CL,Vestido 100% Lino Made In Italy,52000
25755,BI6524ZM,Vestido 100% Lino Made In Italy,52000
25755,BI6524NG,Vestido 100% Lino Made In Italy,52000
8446,BI6525BL,Camiseta Sin Manga 100% Lino Made In Italy,30000
8446,BI6525RS,Camiseta Sin Manga 100% Lino Made In Italy,30000
8446,BI6525TJ,Camiseta Sin Manga 100% Lino Made In Italy,30000
8446,BI6525BD,Camiseta Sin Manga 100% Lino Made In Italy,30000
8446,BI6525BG,Camiseta Sin Manga 100% Lino Made In Italy,30000
8446,BI6525FG,Camiseta Sin Manga 100% Lino Made In Italy,30000
8446,BI6525MG,Camiseta Sin Manga 100% Lino Made In Italy,30000
8446,BI6525CL,Camiseta Sin Manga 100% Lino Made In Italy,30000
8446,BI6525ZM,Camiseta Sin Manga 100% Lino Made In Italy,30000
8446,BI6525NG,Camiseta Sin Manga 100% Lino Made In Italy,30000
99330,BI6526BL,Pantalon 100%Lino Made In Italy,42000
99330,BI6526RS,Pantalon 100%Lino Made In Italy,42000
99330,BI6526TJ,Pantalon 100%Lino Made In Italy,42000
99330,BI6526BD,Pantalon 100%Lino Made In Italy,42000
99330,BI6526BG,Pantalon 100%Lino Made In Italy,42000
99330,BI6526FG,Pantalon 100%Lino Made In Italy,42000
99330,BI6526MG,Pantalon 100%Lino Made In Italy,42000
99330,BI6526CL,Pantalon 100%Lino Made In Italy,42000
99330,BI6526ZM,Pantalon 100%Lino Made In Italy,42000
99330,BI6526NG,Pantalon 100%Lino Made In Italy,42000
85120,BI6527BL,Vestido Bolsillo Tres Botones Manga Corta 100% Lino Made In Italy,43000
85120,BI6527RS,Vestido Bolsillo Tres Botones Manga Corta 100% Lino Made In Italy,43000
85120,BI6527TJ,Vestido Bolsillo Tres Botones Manga Corta 100% Lino Made In Italy,43000
85120,BI6527BD,Vestido Bolsillo Tres Botones Manga Corta 100% Lino Made In Italy,43000
85120,BI6527BG,Vestido Bolsillo Tres Botones Manga Corta 100% Lino Made In Italy,43000
85120,BI6527FG,Vestido Bolsillo Tres Botones Manga Corta 100% Lino Made In Italy,43000
85120,BI6527MG,Vestido Bolsillo Tres Botones Manga Corta 100% Lino Made In Italy,43000
85120,BI6527CL,Vestido Bolsillo Tres Botones Manga Corta 100% Lino Made In Italy,43000
85120,BI6527ZM,Vestido Bolsillo Tres Botones Manga Corta 100% Lino Made In Italy,43000
85120,BI6527NG,Vestido Bolsillo Tres Botones Manga Corta 100% Lino Made In Italy,43000
3337,BI6528BL,Mini Falda Con Vuelos Y Amarra De 100% Lino Made In Italy,32000
3337,BI6528RS,Mini Falda Con Vuelos Y Amarra De 100% Lino Made In Italy,32000
3337,BI6528TJ,Mini Falda Con Vuelos Y Amarra De 100% Lino Made In Italy,32000
3337,BI6528BD,Mini Falda Con Vuelos Y Amarra De 100% Lino Made In Italy,32000
3337,BI6528BG,Mini Falda Con Vuelos Y Amarra De 100% Lino Made In Italy,32000
3337,BI6528FG,Mini Falda Con Vuelos Y Amarra De 100% Lino Made In Italy,32000
3337,BI6528MG,Mini Falda Con Vuelos Y Amarra De 100% Lino Made In Italy,32000
3337,BI6528CL,Mini Falda Con Vuelos Y Amarra De 100% Lino Made In Italy,32000
3337,BI6528ZM,Mini Falda Con Vuelos Y Amarra De 100% Lino Made In Italy,32000
3337,BI6528NG,Mini Falda Con Vuelos Y Amarra De 100% Lino Made In Italy,32000
3977,BI6529BL,Vestido Cuello Solapa Tabla Medio 100% Lino Made In Italy,45000
3977,BI6529RS,Vestido Cuello Solapa Tabla Medio 100% Lino Made In Italy,45000
3977,BI6529TJ,Vestido Cuello Solapa Tabla Medio 100% Lino Made In Italy,45000
3977,BI6529BD,Vestido Cuello Solapa Tabla Medio 100% Lino Made In Italy,45000
3977,BI6529BG,Vestido Cuello Solapa Tabla Medio 100% Lino Made In Italy,45000
3977,BI6529FG,Vestido Cuello Solapa Tabla Medio 100% Lino Made In Italy,45000
3977,BI6529MG,Vestido Cuello Solapa Tabla Medio 100% Lino Made In Italy,45000
3977,BI6529CL,Vestido Cuello Solapa Tabla Medio 100% Lino Made In Italy,45000
3977,BI6529ZM,Vestido Cuello Solapa Tabla Medio 100% Lino Made In Italy,45000
3977,BI6529NG,Vestido Cuello Solapa Tabla Medio 100% Lino Made In Italy,45000
8015,BI6530BL,Falda Lisa Recta 100% Lino Made In Italy,42000
8015,BI6530RS,Falda Lisa Recta 100% Lino Made In Italy,42000
8015,BI6530TJ,Falda Lisa Recta 100% Lino Made In Italy,42000
8015,BI6530BD,Falda Lisa Recta 100% Lino Made In Italy,42000
8015,BI6530BG,Falda Lisa Recta 100% Lino Made In Italy,42000
8015,BI6530FG,Falda Lisa Recta 100% Lino Made In Italy,42000
8015,BI6530MG,Falda Lisa Recta 100% Lino Made In Italy,42000
8015,BI6530CL,Falda Lisa Recta 100% Lino Made In Italy,42000
8015,BI6530ZM,Falda Lisa Recta 100% Lino Made In Italy,42000
8015,BI6530NG,Falda Lisa Recta 100% Lino Made In Italy,42000
5020,BI6531BL,Polera Tirantes Vuelo Cuello Hombros 100% Cotone Made In Italy,26000
5020,BI6531RS,Polera Tirantes Vuelo Cuello Hombros 100% Cotone Made In Italy,26000
5020,BI6531TJ,Polera Tirantes Vuelo Cuello Hombros 100% Cotone Made In Italy,26000
5020,BI6531BD,Polera Tirantes Vuelo Cuello Hombros 100% Cotone Made In Italy,26000
5020,BI6531BG,Polera Tirantes Vuelo Cuello Hombros 100% Cotone Made In Italy,26000
5020,BI6531FG,Polera Tirantes Vuelo Cuello Hombros 100% Cotone Made In Italy,26000
5020,BI6531MG,Polera Tirantes Vuelo Cuello Hombros 100% Cotone Made In Italy,26000
5020,BI6531CL,Polera Tirantes Vuelo Cuello Hombros 100% Cotone Made In Italy,26000
5020,BI6531ZM,Polera Tirantes Vuelo Cuello Hombros 100% Cotone Made In Italy,26000
5020,BI6531NG,Polera Tirantes Vuelo Cuello Hombros 100% Cotone Made In Italy,26000
0202,BI6532BL,Vestido Escote V Con Vuelo Manga Sin Mangas 100% Lino Made In Italy,42000
0202,BI6532RS,Vestido Escote V Con Vuelo Manga Sin Mangas 100% Lino Made In Italy,42000
0202,BI6532TJ,Vestido Escote V Con Vuelo Manga Sin Mangas 100% Lino Made In Italy,42000
0202,BI6532BD,Vestido Escote V Con Vuelo Manga Sin Mangas 100% Lino Made In Italy,42000
0202,BI6532BG,Vestido Escote V Con Vuelo Manga Sin Mangas 100% Lino Made In Italy,42000
0202,BI6532FG,Vestido Escote V Con Vuelo Manga Sin Mangas 100% Lino Made In Italy,42000
